time,lon,lat,ETP
2021-12-02,13.4,9.3,3.0180000000000002
2021-12-03,11.52,3.87,1.782
2021-12-03,13.4,9.3,2.888
2021-12-04,11.52,3.87,3.91
2021-12-04,13.4,9.3,2.952
2021-12-05,11.52,3.87,3.586
2021-12-05,13.4,9.3,3.104
2021-12-06,11.52,3.87,2.701
2021-12-06,13.4,9.3,3.221
2021-12-07,11.52,3.87,3.142
2021-12-07,13.4,9.3,3.031
2021-12-08,11.52,3.87,3.722
2021-12-08,13.4,9.3,3.043
2021-12-09,11.52,3.87,4.048
2021-12-09,13.4,9.3,2.761
2021-12-10,11.52,3.87,4.121
2021-12-10,13.4,9.3,2.91
2021-12-11,11.52,3.87,3.977
2021-12-11,13.4,9.3,2.991
2021-12-12,11.52,3.87,4.0040000000000004
2021-12-12,13.4,9.3,3.12
2021-12-13,11.52,3.87,4.03
2021-12-13,13.4,9.3,3.041
2021-12-14,11.52,3.87,3.734
2021-12-14,13.4,9.3,3.056
2021-12-15,11.52,3.87,
2021-12-15,13.4,9.3,
2021-12-16,11.52,3.87,3.112
2021-12-16,13.4,9.3,2.771
2021-12-17,11.52,3.87,3.992
